Lifetime,Episode,Step,Valence,Fear,Dominance,ExploreBias,Phase
1,0,0,0.017556,0.000000,0.740000,0.489267,Normal
1,0,1,0.033103,0.000000,0.979602,0.479548,Normal
1,0,2,0.044971,0.000000,1.000000,0.468287,Normal
1,0,3,0.061269,0.000000,1.000000,0.458133,Normal
1,0,4,0.080523,0.039705,1.000000,0.414312,Normal
1,1,0,0.092874,0.034517,1.000000,0.414247,Normal
1,1,1,0.103451,0.029291,1.000000,0.413350,Normal
1,1,2,0.111054,0.023814,1.000000,0.409643,Normal
1,1,3,0.131068,0.018348,1.000000,0.409743,Normal
1,1,4,0.144954,0.013351,1.000000,0.411598,Normal
1,2,0,0.161993,0.008403,1.000000,0.414769,Normal
1,2,1,0.172470,0.003310,1.000000,0.414872,Normal
1,2,2,0.191157,0.000000,1.000000,0.414464,Normal
1,2,3,0.203265,0.000000,1.000000,0.407088,Normal
1,2,4,0.217042,0.000000,1.000000,0.404306,Normal
1,3,0,0.231875,0.000000,1.000000,0.400188,Normal
1,3,1,0.241672,0.000000,1.000000,0.393401,Normal
1,3,2,0.251177,0.000000,1.000000,0.385657,Normal
1,3,3,0.262840,0.000000,1.000000,0.377127,Normal
1,3,4,0.271603,0.000000,1.000000,0.370713,Normal
1,4,0,0.284031,0.000000,1.000000,0.365005,Normal
1,4,1,0.294562,0.000000,1.000000,0.358449,Normal
1,4,2,0.301822,0.000000,1.000000,0.350996,Normal
1,4,3,0.341199,0.000000,1.000000,0.352432,Normal
1,4,4,0.360977,0.000000,1.000000,0.347153,Normal
1,5,0,0.380918,0.000000,1.000000,0.340465,Normal
1,5,1,0.399897,0.000000,1.000000,0.333884,Normal
1,5,2,0.419604,0.000000,1.000000,0.326294,Normal
1,5,3,0.443056,0.000000,1.000000,0.318602,Normal
1,5,4,0.459693,0.000000,1.000000,0.310449,Normal
1,6,0,0.470959,0.000000,1.000000,0.301955,Normal
1,6,1,0.485612,0.000000,1.000000,0.295988,Normal
1,6,2,0.495230,0.000000,1.000000,0.287200,Normal
1,6,3,0.503373,0.000000,1.000000,0.276962,Normal
1,6,4,0.513444,0.000000,1.000000,0.270865,Normal
1,7,0,0.521452,0.000000,1.000000,0.264189,Normal
1,7,1,0.534654,0.000000,1.000000,0.260975,Normal
1,7,2,0.553533,0.000000,1.000000,0.256551,Normal
1,7,3,0.563471,0.000000,1.000000,0.246925,Normal
1,7,4,0.573279,0.000000,1.000000,0.239914,Normal
1,8,0,0.593170,0.000000,1.000000,0.234299,Normal
1,8,1,0.601186,0.000000,1.000000,0.228038,Normal
1,8,2,0.618233,0.000000,1.000000,0.222911,Normal
1,8,3,0.626579,0.000000,1.000000,0.214413,Normal
