Episode,Step,X,Y,Reward,Done
0,0,0,1,0.15,false
0,1,1,1,0.18,false
0,2,2,1,0.21,false
0,3,2,1,-0.008,false
0,4,2,0,0.18,false
0,5,1,0,0.15,false
0,6,1,1,0.18,false
0,7,1,0,0.15,false
0,8,2,0,0.18,false
0,9,3,0,0.21,false
0,10,4,0,0.24,false
0,11,4,0,-0.008,false
0,12,4,0,-0.008,false
0,13,3,0,0.21,false
0,14,4,0,0.24,false
0,15,3,0,0.21,false
0,16,3,0,-0.008,false
0,17,3,0,-0.008,false
0,18,4,0,0.24,false
0,19,3,0,0.21,false
0,20,3,0,-0.008,false
0,21,3,0,-0.008,false
0,22,2,0,0.18,false
0,23,1,0,0.15,false
0,24,1,1,0.18,false
0,25,1,1,-0.008,false
0,26,2,1,0.21,false
0,27,2,1,-0.008,false
0,28,2,1,-0.008,false
0,29,2,1,-0.008,false
0,30,2,1,-0.008,false
0,31,2,1,-0.008,false
0,32,2,1,-0.008,false
0,33,1,1,0.18,false
0,34,2,1,0.21,false
0,35,1,1,0.18,false
0,36,0,1,0.15,false
0,37,1,1,0.18,false
0,38,1,0,0.15,false
0,39,2,0,0.18,false
0,40,1,0,0.15,false
0,41,2,0,0.18,false
0,42,3,0,0.21,false
0,43,4,0,0.24,false
0,44,4,0,-0.008,false
0,45,3,0,0.21,false
0,46,4,0,0.24,false
0,47,3,0,0.21,false
0,48,3,0,-0.008,false
0,49,2,0,0.18,false
0,50,1,0,0.15,false
0,51,1,0,-0.008,false
0,52,2,0,0.18,false
0,53,3,0,0.21,false
0,54,4,0,0.24,false
0,55,4,0,-0.008,false
0,56,4,0,-0.008,false
0,57,4,0,-0.008,false
0,58,4,0,-0.008,false
0,59,4,1,0.27,false
0,60,4,0,0.24,false
0,61,4,1,0.27,false
0,62,4,0,0.24,false
0,63,4,0,-0.008,false
0,64,4,0,-0.008,false
0,65,4,1,0.27,false
0,66,4,0,0.24,false
0,67,3,0,0.21,false
0,68,4,0,0.24,false
0,69,4,0,-0.008,false
0,70,3,0,0.21,false
0,71,3,0,-0.008,false
0,72,3,0,-0.008,false
0,73,3,0,-0.008,false
0,74,3,0,-0.008,false
0,75,2,0,0.18,false
0,76,3,0,0.21,false
0,77,3,0,-0.008,false
0,78,3,0,-0.008,false
0,79,3,0,-0.008,false
0,80,4,0,0.24,false
0,81,4,0,-0.008,false
0,82,4,0,-0.008,false
0,83,4,1,0.27,false
0,84,4,1,-0.008,false
0,85,4,2,-0.15,false
0,86,3,2,0.27,false
0,87,4,2,-0.15,false
0,88,3,2,0.27,false
0,89,4,2,-0.15,false
0,90,4,2,-0.008,false
0,91,4,2,-0.008,false
0,92,4,2,-0.008,false
0,93,4,3,0.33,false
0,94,4,3,-0.008,false
0,95,3,3,-0.15,false
0,96,3,4,0.33,false
0,97,4,4,1,true
1,0,0,1,0.15,false
1,1,0,2,0.18,false
1,2,0,1,0.15,false
1,3,1,1,0.18,false
1,4,2,1,0.21,false
1,5,1,1,0.18,false
1,6,2,1,0.21,false
1,7,1,1,0.18,false
1,8,1,1,-0.008,false
1,9,2,1,0.21,false
1,10,2,1,-0.008,false
1,11,1,1,0.18,false
1,12,2,1,0.21,false
1,13,2,0,0.18,false
1,14,3,0,0.21,false
1,15,2,0,0.18,false
1,16,2,1,0.21,false
1,17,2,0,0.18,false
1,18,2,0,-0.008,false
1,19,3,0,0.21,false
1,20,4,0,0.24,false
1,21,3,0,0.21,false
1,22,4,0,0.24,false
1,23,4,0,-0.008,false
1,24,3,0,0.21,false
1,25,2,0,0.18,false
1,26,3,0,0.21,false
1,27,3,0,-0.008,false
1,28,4,0,0.24,false
1,29,4,0,-0.008,false
1,30,4,0,-0.008,false
1,31,4,0,-0.008,false
1,32,4,0,-0.008,false
1,33,3,0,0.21,false
1,34,4,0,0.24,false
1,35,4,0,-0.008,false
1,36,4,0,-0.008,false
1,37,4,0,-0.008,false
1,38,4,0,-0.008,false
1,39,4,0,-0.008,false
1,40,3,0,0.21,false
1,41,4,0,0.24,false
1,42,4,0,-0.008,false
1,43,4,0,-0.008,false
1,44,3,0,0.21,false
1,45,4,0,0.24,false
1,46,4,0,-0.008,false
1,47,4,1,0.27,false
1,48,4,1,-0.008,false
1,49,4,1,-0.008,false
1,50,4,2,-0.15,false
1,51,4,1,0.27,false
1,52,4,1,-0.008,false
1,53,4,1,-0.008,false
1,54,4,1,-0.008,false
1,55,4,2,-0.15,false
1,56,4,1,0.27,false
1,57,4,0,0.24,false
1,58,4,1,0.27,false
1,59,4,2,-0.15,false
1,60,4,2,-0.008,false
1,61,4,3,0.33,false
1,62,4,3,-0.008,false
1,63,3,3,-0.15,false
1,64,4,3,0.33,false
1,65,4,2,-0.15,false
1,66,4,2,-0.008,false
1,67,4,3,0.33,false
1,68,4,4,1,true
2,0,1,0,0.15,false
2,1,2,0,0.18,false
2,2,3,0,0.21,false
2,3,3,0,-0.008,false
2,4,4,0,0.24,false
2,5,4,0,-0.008,false
2,6,4,0,-0.008,false
2,7,4,0,-0.008,false
2,8,4,0,-0.008,false
2,9,4,0,-0.008,false
2,10,4,0,-0.008,false
2,11,3,0,0.21,false
2,12,2,0,0.18,false
2,13,3,0,0.21,false
2,14,3,0,-0.008,false
2,15,4,0,0.24,false
2,16,4,0,-0.008,false
2,17,4,0,-0.008,false
2,18,4,0,-0.008,false
2,19,4,1,0.27,false
2,20,4,1,-0.008,false
2,21,4,1,-0.008,false
2,22,4,2,-0.15,false
2,23,4,1,0.27,false
2,24,4,0,0.24,false
2,25,4,0,-0.008,false
2,26,3,0,0.21,false
2,27,3,0,-0.008,false
2,28,4,0,0.24,false
2,29,4,0,-0.008,false
2,30,4,0,-0.008,false
2,31,4,1,0.27,false
2,32,4,1,-0.008,false
2,33,4,0,0.24,false
2,34,4,0,-0.008,false
2,35,4,0,-0.008,false
2,36,4,1,0.27,false
2,37,4,2,-0.15,false
2,38,4,3,0.33,false
2,39,4,3,-0.008,false
2,40,4,3,-0.008,false
2,41,4,3,-0.008,false
2,42,4,2,-0.15,false
2,43,4,1,0.27,false
2,44,4,0,0.24,false
2,45,3,0,0.21,false
2,46,2,0,0.18,false
2,47,3,0,0.21,false
2,48,2,0,0.18,false
2,49,2,0,-0.008,false
2,50,2,0,-0.008,false
2,51,2,1,0.21,false
2,52,2,1,-0.008,false
2,53,2,1,-0.008,false
2,54,2,1,-0.008,false
2,55,2,1,-0.008,false
2,56,2,1,-0.008,false
2,57,2,0,0.18,false
2,58,2,1,0.21,false
2,59,1,1,0.18,false
2,60,2,1,0.21,false
2,61,2,1,-0.008,false
2,62,1,1,0.18,false
2,63,0,1,0.15,false
2,64,1,1,0.18,false
2,65,1,0,0.15,false
2,66,2,0,0.18,false
2,67,1,0,0.15,false
2,68,0,0,0.12,false
2,69,1,0,0.15,false
2,70,1,0,-0.008,false
2,71,0,0,0.12,false
2,72,1,0,0.15,false
2,73,1,1,0.18,false
2,74,1,1,-0.008,false
2,75,1,1,-0.008,false
2,76,1,1,-0.008,false
2,77,0,1,0.15,false
2,78,1,1,0.18,false
2,79,2,1,0.21,false
2,80,2,1,-0.008,false
2,81,2,0,0.18,false
2,82,1,0,0.15,false
2,83,2,0,0.18,false
2,84,3,0,0.21,false
2,85,4,0,0.24,false
2,86,4,1,0.27,false
2,87,4,0,0.24,false
2,88,4,1,0.27,false
2,89,4,1,-0.008,false
2,90,4,2,-0.15,false
2,91,4,2,-0.008,false
2,92,4,1,0.27,false
2,93,4,1,-0.008,false
2,94,4,1,-0.008,false
2,95,4,1,-0.008,false
2,96,4,1,-0.008,false
2,97,4,1,-0.008,false
2,98,4,1,-0.008,false
2,99,4,2,-0.15,false
3,0,0,0,-0.008,false
3,1,1,0,0.15,false
3,2,1,1,0.18,false
3,3,2,1,0.21,false
3,4,2,0,0.18,false
3,5,3,0,0.21,false
3,6,2,0,0.18,false
3,7,1,0,0.15,false
3,8,2,0,0.18,false
3,9,3,0,0.21,false
3,10,3,0,-0.008,false
3,11,4,0,0.24,false
3,12,3,0,0.21,false
3,13,4,0,0.24,false
3,14,4,0,-0.008,false
3,15,4,0,-0.008,false
3,16,4,1,0.27,false
3,17,4,1,-0.008,false
3,18,4,2,-0.15,false
3,19,4,1,0.27,false
3,20,4,1,-0.008,false
3,21,4,1,-0.008,false
3,22,4,1,-0.008,false
3,23,4,1,-0.008,false
