Episode,Step,Action_noop,Action_explore
0,0,0.099307,0.189307
0,1,0.091937,0.172937
0,2,0.093815,0.166715
0,3,0.087230,0.152840
0,4,0.089851,0.148900
1,0,0.093867,0.147011
1,1,0.088293,0.136122
1,2,0.094245,0.137292
1,3,0.088731,0.127473
1,4,0.095488,0.130356
2,0,0.104292,0.135673
2,1,0.098561,0.126804
2,2,0.106996,0.132415
2,3,0.100455,0.123332
2,4,0.106083,0.126672
3,0,0.113704,0.132235
3,1,0.106852,0.123529
3,2,0.114218,0.129227
3,3,0.107234,0.120743
3,4,0.112587,0.124744
4,0,0.119105,0.130047
4,1,0.111890,0.121738
4,2,0.118763,0.127626
4,3,0.111229,0.119205
4,4,0.116507,0.123686
5,0,0.123249,0.129710
5,1,0.115541,0.121356
5,2,0.121933,0.127166
5,3,0.113967,0.118677
5,4,0.117764,0.122004
6,0,0.124196,0.128011
6,1,0.116388,0.119822
6,2,0.122866,0.125957
6,3,0.114964,0.117745
6,4,0.120029,0.122532
7,0,0.126127,0.128380
7,1,0.118218,0.120246
7,2,0.123895,0.125720
7,3,0.115622,0.117265
7,4,0.119494,0.120972
8,0,0.125945,0.127276
8,1,0.118032,0.119229
8,2,0.123894,0.124971
8,3,0.115788,0.116758
8,4,0.120265,0.121138
9,0,0.126361,0.127147
9,1,0.118486,0.119193
9,2,0.125341,0.125977
9,3,0.117101,0.117674
9,4,0.121750,0.122265
